grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
2,5,1,2,1,0.83683,3.4048,1.0653,0.30838,0.476,0.24,0.237,0.50568,5.4611,7.153,0.85558,0.15402,0.84724,0.86024,0.83053,0.83188,0.19015
2,5,2,1,0.080284,0.80363,5.5393,0.43777,0.15793,1.176,0.373,0.807,0.31013,4.5254,4.7103,0.70917,0.3385,0.79,0.62809,0.83523,0.67948,0.57776
2,5,2,1,0.05187,0.82505,5.4839,0.47907,0.19822,1.063,0.355,0.725,0.3293,5.0065,5.1589,0.7547,0.25655,0.88009,0.73075,0.87248,0.69918,0.4536
2,5,2,1,0.099161,0.8529,5.671,0.47743,0.19298,1.011,0.348,0.658,0.3627,5.264,5.6093,0.78784,0.2544,0.9026,0.77637,0.90308,0.71666,0.28848
2,5,2,2,1,0.83241,3.3965,1.5625,0.46009,0.316,0.16,0.152,0.5125,8.2261,10.748,0.80919,0.14451,0.72327,0.89895,0.84334,0.77842,0.18977
2,5,2,2,1,0.86261,3.2216,1.4648,0.4316,0.34,0.166,0.172,0.49379,7.6455,9.4752,0.86812,0.12893,0.83966,0.92206,0.90713,0.81267,0.14618
2,5,2,2,1,0.85122,3.6111,1.4974,0.42923,0.33,0.16,0.167,0.49123,7.8772,10.943,0.86241,0.11304,0.8478,0.88555,0.86201,0.84315,0.18436
2,5,3,1,0.083698,0.84561,5.7537,0.51153,0.20176,1,0.3065,0.693,0.30953,5.3219,5.7538,0.78276,0.31861,0.9228,0.71877,0.92611,0.69152,0.99661
2,5,3,1,0.13251,0.85119,5.5302,0.49867,0.19718,0.962,0.32,0.651,0.32655,5.5321,5.7487,0.83753,0.31004,0.92074,0.74619,0.92914,0.7391,0.44024
2,5,3,1,0.090494,0.85616,5.7858,0.44759,0.17177,1.1015,0.329,0.7845,0.29568,4.8315,5.2527,0.81283,0.3437,0.93421,0.72704,0.94882,0.72813,0.43199
2,5,3,2,1,0.86507,3.8695,1.6276,0.46937,0.314,0.154,0.155,0.49833,8.2785,12.323,0.88102,0.14248,0.84922,0.88477,0.88978,0.87149,0.14386
2,5,3,2,1,0.86198,3.5272,1.7278,0.4954,0.287,0.144,0.142,0.50175,9.0574,12.29,0.87956,0.09759,0.83748,0.90864,0.90186,0.85675,0.14389
2,5,3,2,1,0.83193,2.817,1.8029,0.51581,0.277,0.143,0.137,0.51103,9.3843,10.17,0.88924,0.16454,0.71983,0.88893,0.90289,0.86262,0.2693
