grp , pp , S , IDR , IDL , q4R
2,4,1,1,2,0.59165
2,4,1,2,1,0.58318
2,4,1,2,1,0.43287
2,4,1,2,1,0.45448
2,4,1,2,1,0.58318
2,4,1,2,1,0.43287
2,4,1,2,1,0.45448
2,4,1,2,2,0.6725
2,4,1,2,2,0.61547
2,4,1,2,2,0.79393
2,4,1,2,2,0.6725
2,4,1,2,2,0.61547
2,4,1,2,2,0.79393
2,4,1,3,1,0.57587
2,4,1,3,1,0.6222
2,4,1,3,1,0.64931
2,4,1,3,1,0.57587
2,4,1,3,1,0.6222
2,4,1,3,1,0.64931
2,4,1,3,2,0.7766
2,4,1,3,2,0.84442
2,4,1,3,2,0.96764
2,4,1,3,2,0.7766
2,4,1,3,2,0.84442
2,4,1,3,2,0.96764
2,4,4,1,1,0.41224
2,4,4,1,1,0.58993
2,4,4,1,1,0.67265
2,4,4,1,1,0.41224
2,4,4,1,1,0.58993
2,4,4,1,1,0.67265
2,4,4,1,2,0.63452
2,4,4,1,2,0.81198
2,4,4,1,2,0.58506
2,4,4,1,2,0.63452
2,4,4,1,2,0.81198
2,4,4,1,2,0.58506
2,4,4,2,1,0.60073
2,4,4,2,1,0.63243
2,4,4,2,1,0.80548
2,4,4,2,1,0.60073
2,4,4,2,1,0.63243
2,4,4,2,1,0.80548
2,4,4,2,2,0.86249
2,4,4,2,2,0.6617
2,4,4,2,2,0.56628
2,4,4,2,2,0.86249
2,4,4,2,2,0.6617
2,4,4,2,2,0.56628
2,4,4,3,1,0.92547
2,4,4,3,1,0.94405
2,4,4,3,1,0.95744
2,4,4,3,1,0.92547
2,4,4,3,1,0.94405
2,4,4,3,1,0.95744
2,4,4,3,2,0.88165
2,4,4,3,2,0.90345
2,4,4,3,2,0.62565
2,4,4,3,2,0.88165
2,4,4,3,2,0.90345
2,4,4,3,2,0.62565
2,4,7,1,1,0.63174
2,4,7,1,1,0.70033
2,4,7,1,1,0.53871
2,4,7,1,1,0.63174
2,4,7,1,1,0.70033
2,4,7,1,1,0.53871
2,4,7,1,2,0.91356
2,4,7,1,2,0.81429
2,4,7,1,2,0.74611
2,4,7,1,2,0.91356
2,4,7,1,2,0.81429
2,4,7,1,2,0.74611
2,4,7,2,1,0.72505
2,4,7,2,1,0.74252
2,4,7,2,1,0.71424
2,4,7,2,1,0.72505
2,4,7,2,1,0.74252
2,4,7,2,1,0.71424
2,4,7,2,2,0.75419
2,4,7,2,2,0.82306
2,4,7,2,2,0.7994
2,4,7,2,2,0.75419
2,4,7,2,2,0.82306
2,4,7,2,2,0.7994
2,4,7,3,1,0.90153
2,4,7,3,1,0.91379
2,4,7,3,1,0.8539
2,4,7,3,1,0.90153
2,4,7,3,1,0.91379
2,4,7,3,1,0.8539
2,4,7,3,2,0.86009
2,4,7,3,2,0.81442
2,4,7,3,2,0.91553
2,4,7,3,2,0.86009
2,4,7,3,2,0.81442
2,4,7,3,2,0.91553
2,5,1,1,1,0.72824
2,5,1,1,1,0.63323
2,5,1,1,1,0.72951
2,5,1,1,1,0.72824
2,5,1,1,1,0.63323
2,5,1,1,1,0.72951
2,5,1,1,2,0.59288
2,5,1,1,2,0.57052
2,5,1,1,2,0.52824
2,5,1,1,2,0.59288
2,5,1,1,2,0.57052
2,5,1,1,2,0.52824
2,5,1,2,1,0.78255
2,5,1,2,1,0.76986
2,5,1,2,1,0.6982
2,5,1,2,1,0.78255
2,5,1,2,1,0.76986
2,5,1,2,1,0.6982
2,5,1,2,2,0.77515
2,5,1,2,2,0.74081
2,5,1,2,2,0.69166
2,5,1,2,2,0.77515
2,5,1,2,2,0.74081
2,5,1,2,2,0.69166
2,5,1,3,1,0.88279
2,5,1,3,1,0.88492
2,5,1,3,1,0.80225
2,5,1,3,1,0.88279
2,5,1,3,1,0.88492
2,5,1,3,1,0.80225
2,5,1,3,2,0.87421
2,5,1,3,2,1.0049
2,5,1,3,2,0.89052
2,5,1,3,2,0.87421
2,5,1,3,2,1.0049
2,5,1,3,2,0.89052
2,5,4,1,1,0.59908
2,5,4,1,1,0.71443
2,5,4,1,1,0.60233
2,5,4,1,1,0.59908
2,5,4,1,1,0.71443
2,5,4,1,1,0.60233
2,5,4,1,2,0.58244
2,5,4,1,2,0.51074
2,5,4,1,2,0.62987
2,5,4,1,2,0.58244
2,5,4,1,2,0.51074
2,5,4,1,2,0.62987
2,5,4,2,1,0.75385
2,5,4,2,1,0.70531
2,5,4,2,1,0.7844
2,5,4,2,1,0.75385
2,5,4,2,1,0.70531
2,5,4,2,1,0.7844
2,5,4,2,2,0.77876
2,5,4,2,2,0.61885
2,5,4,2,2,0.72858
2,5,4,2,2,0.77876
2,5,4,2,2,0.61885
2,5,4,2,2,0.72858
2,5,4,3,1,0.89667
2,5,4,3,1,0.89759
2,5,4,3,1,0.90672
2,5,4,3,1,0.89667
2,5,4,3,1,0.89759
2,5,4,3,1,0.90672
2,5,4,3,2,0.77088
2,5,4,3,2,0.92979
2,5,4,3,2,0.84214
2,5,4,3,2,0.77088
2,5,4,3,2,0.92979
2,5,4,3,2,0.84214
2,5,7,1,1,0.56762
2,5,7,1,1,0.67643
2,5,7,1,1,0.63011
2,5,7,1,1,0.56762
2,5,7,1,1,0.67643
2,5,7,1,1,0.63011
2,5,7,1,2,0.57799
2,5,7,1,2,0.58335
2,5,7,1,2,0.67264
2,5,7,1,2,0.57799
2,5,7,1,2,0.58335
2,5,7,1,2,0.67264
2,5,7,2,1,0.72141
2,5,7,2,1,0.86883
