grp , pp , S , IDR , IDL , decTimeR
1,2,1,2,1,0.45941
1,2,1,2,1,0.48673
1,2,1,2,1,0.40496
1,2,1,2,1,0.73068
1,2,1,2,1,0.35006
1,2,1,2,1,0.6137
1,2,1,2,1,0.21088
1,2,1,2,1,0.5834
1,2,1,2,1,0.39923
1,2,1,2,1,0.67512
1,2,1,2,1,0.48289
1,2,1,2,1,0.6747
1,2,1,2,1,0.30668
1,2,1,2,1,0.65019
1,2,1,2,1,0.47918
1,2,1,2,1,0.63456
1,2,1,2,1,0.36063
1,2,1,2,1,0.57616
1,2,1,2,1,0.4326
1,2,1,2,1,0.63388
1,2,1,2,1,0.3469
1,2,1,2,1,0.72911
1,2,1,2,1,0.43775
1,2,1,2,1,0.69826
1,2,1,2,1,0.33409
1,2,1,2,1,0.65764
1,2,1,2,1,0.45537
1,2,1,2,1,0.73015
1,2,1,2,1,0.40365
1,2,1,2,1,0.65517
1,2,1,2,1,0.34767
1,2,1,2,1,0.72492
1,2,1,2,1,0.39908
1,2,1,2,1,0.65992
1,2,1,2,1,0.34866
1,2,1,2,1,0.66378
1,2,1,2,1,0.44381
1,2,1,2,1,0.7481
1,2,1,2,1,0.41538
1,2,1,2,1,0.65451
1,2,1,2,1,0.38957
1,2,1,2,1,0.68236
