grp , pp , S , IDR , IDL , circularityL
2,5,1,2,2,0.77651
2,5,1,3,1,0.86647
2,5,1,3,1,0.87077
2,5,1,3,1,0.81224
2,5,1,3,1,0.86647
2,5,1,3,1,0.87077
2,5,1,3,1,0.81224
2,5,1,3,2,0.87332
2,5,1,3,2,0.89109
2,5,1,3,2,0.84014
2,5,1,3,2,0.87332
2,5,1,3,2,0.89109
2,5,1,3,2,0.84014
2,5,4,1,1,0.7711
2,5,4,1,1,0.86436
2,5,4,1,1,0.80014
2,5,4,1,1,0.7711
2,5,4,1,1,0.86436
2,5,4,1,1,0.80014
2,5,4,1,2,0.80997
2,5,4,1,2,0.81846
2,5,4,1,2,0.82012
2,5,4,1,2,0.80997
2,5,4,1,2,0.81846
2,5,4,1,2,0.82012
2,5,4,2,1,0.86075
2,5,4,2,1,0.89428
2,5,4,2,1,0.85726
2,5,4,2,1,0.86075
2,5,4,2,1,0.89428
2,5,4,2,1,0.85726
2,5,4,2,2,0.86774
2,5,4,2,2,0.85028
2,5,4,2,2,0.76146
2,5,4,2,2,0.86774
2,5,4,2,2,0.85028
2,5,4,2,2,0.76146
2,5,4,3,1,0.91044
2,5,4,3,1,0.88489
2,5,4,3,1,0.87606
2,5,4,3,1,0.91044
2,5,4,3,1,0.88489
2,5,4,3,1,0.87606
2,5,4,3,2,0.84422
2,5,4,3,2,0.92485
2,5,4,3,2,0.86217
2,5,4,3,2,0.84422
2,5,4,3,2,0.92485
2,5,4,3,2,0.86217
2,5,7,1,1,0.82055
2,5,7,1,1,0.6717
2,5,7,1,1,0.77035
2,5,7,1,1,0.82055
2,5,7,1,1,0.6717
2,5,7,1,1,0.77035
2,5,7,1,2,0.85063
2,5,7,1,2,0.8958
2,5,7,1,2,0.84615
2,5,7,1,2,0.85063
2,5,7,1,2,0.8958
2,5,7,1,2,0.84615
2,5,7,2,1,0.91094
2,5,7,2,1,0.87026
2,5,7,2,1,0.84284
2,5,7,2,1,0.91094
2,5,7,2,1,0.87026
2,5,7,2,1,0.84284
2,5,7,2,2,0.86185
2,5,7,2,2,0.94507
2,5,7,2,2,0.92369
2,5,7,2,2,0.86185
2,5,7,2,2,0.94507
2,5,7,2,2,0.92369
2,5,7,3,1,0.92618
2,5,7,3,1,0.95966
2,5,7,3,1,0.90633
2,5,7,3,1,0.92618
2,5,7,3,1,0.95966
2,5,7,3,1,0.90633
2,5,7,3,2,0.89126
2,5,7,3,2,0.90918
2,5,7,3,2,0.86695
2,5,7,3,2,0.89126
2,5,7,3,2,0.90918
2,5,7,3,2,0.86695
2,7,1,1,1,0.87217
2,7,1,1,1,0.89177
2,7,1,1,1,0.74372
2,7,1,1,1,0.87217
2,7,1,1,1,0.89177
2,7,1,1,1,0.74372
2,7,1,1,2,0.67691
2,7,1,1,2,0.80235
2,7,1,1,2,0.85753
2,7,1,1,2,0.67691
2,7,1,1,2,0.80235
2,7,1,1,2,0.85753
2,7,1,2,1,0.88774
2,7,1,2,1,0.84213
2,7,1,2,1,0.80461
2,7,1,2,1,0.88774
2,7,1,2,1,0.84213
2,7,1,2,1,0.80461
2,7,1,2,2,0.88174
2,7,1,2,2,0.90317
2,7,1,2,2,0.9028
2,7,1,2,2,0.88174
2,7,1,2,2,0.90317
2,7,1,2,2,0.9028
2,7,1,3,1,0.86854
2,7,1,3,1,0.87376
2,7,1,3,1,0.82313
2,7,1,3,1,0.86854
2,7,1,3,1,0.87376
2,7,1,3,1,0.82313
2,7,1,3,2,0.92248
2,7,1,3,2,0.89157
2,7,1,3,2,0.9153
2,7,1,3,2,0.92248
2,7,1,3,2,0.89157
2,7,1,3,2,0.9153
2,7,4,1,1,0.73159
2,7,4,1,1,0.83414
2,7,4,1,1,0.84288
2,7,4,1,1,0.73159
2,7,4,1,1,0.83414
2,7,4,1,1,0.84288
2,7,4,1,2,0.77885
2,7,4,1,2,0.73489
2,7,4,1,2,0.75218
2,7,4,1,2,0.77885
2,7,4,1,2,0.73489
2,7,4,1,2,0.75218
2,7,4,2,1,0.84584
2,7,4,2,1,0.77578
2,7,4,2,1,0.86358
2,7,4,2,1,0.84584
2,7,4,2,1,0.77578
2,7,4,2,1,0.86358
2,7,4,2,2,0.87416
2,7,4,2,2,0.94263
2,7,4,2,2,0.85311
2,7,4,2,2,0.87416
2,7,4,2,2,0.94263
2,7,4,2,2,0.85311
2,7,4,3,1,0.87464
