grp , pp , S , IDR , IDL , IPerfL
1,2,1,1,2,2.4546
1,2,1,1,2,2.1307
1,2,1,1,2,1.7915
1,2,1,1,2,1.9184
1,2,1,1,2,1.7623
1,2,1,1,2,2.143
1,2,1,1,2,1.9472
1,2,1,1,2,2.1608
1,2,1,1,2,1.9156
1,2,1,1,2,1.8581
1,2,1,1,2,1.639
1,2,1,1,2,1.8594
1,2,1,1,2,1.9128
1,2,1,1,2,1.9753
1,2,1,1,2,1.8528
1,2,1,1,2,1.9813
1,2,1,1,2,1.8436
1,2,1,1,2,2.6073
1,2,1,1,2,1.5641
1,2,1,1,2,2.1048
1,2,1,1,2,1.6935
1,2,1,1,2,2.1465
1,2,1,1,2,27.078
1,2,1,1,2,13.539
1,2,1,1,2,1.9589
1,2,1,1,2,2.0947
1,2,1,1,2,1.676
1,2,1,1,2,1.5612
1,2,1,1,2,1.8933
1,2,1,1,2,3.9386
1,2,1,1,2,8.8719
1,2,1,1,2,25.737
1,2,1,1,2,21.134
1,2,1,1,2,1.8796
1,2,1,1,2,1.3546
1,2,1,1,2,2.631
1,2,1,1,2,20.963
1,2,1,1,2,24.294
1,2,1,1,2,22.218
1,2,1,1,2,14.283
1,2,1,1,2,1.8039
1,2,1,1,2,1.8332
1,2,1,1,2,1.7635
1,2,1,1,2,1.6631
1,2,1,1,2,2.2526
1,2,1,1,2,1.4097
1,2,1,1,2,2.0324
1,2,1,1,2,1.638
1,2,1,1,2,3.0946
1,2,1,1,2,18.701
1,2,1,1,2,14.522
1,2,1,1,2,2.3024
1,2,1,1,2,1.9828
1,2,1,1,2,1.6836
1,2,1,1,2,2.3045
1,2,1,1,2,1.7647
1,2,1,1,2,2.2624
1,2,1,1,2,1.7169
1,2,1,1,2,1.9241
1,2,1,1,2,2.0104
1,2,1,1,2,1.9114
1,2,1,1,2,2.0896
1,2,1,1,2,1.995
1,2,1,1,2,1.8837
1,2,1,1,2,2.4733
1,2,1,1,2,1.8823
1,2,1,1,2,1.9428
1,2,1,1,2,1.5291
1,2,1,1,2,2.2218
1,2,1,1,2,1.488
1,2,1,1,2,2.2104
1,2,1,1,2,2.0011
1,2,1,1,2,2.1662
1,2,1,1,2,1.953
1,2,1,1,2,2.1448
1,2,1,1,2,1.9457
1,2,1,1,2,2.1899
1,2,1,1,2,1.9472
1,2,1,1,2,2.4249
1,2,1,1,2,2.0058
1,2,1,1,2,2.4362
1,2,1,1,2,1.9213
1,2,1,1,2,1.9996
1,2,1,1,2,1.9904
1,2,1,1,2,2.7078
1,2,1,1,2,2.143
1,2,1,1,2,2.1789
1,2,1,1,2,2.1918
1,2,1,1,2,2.5995
1,2,1,1,2,2.2332
1,2,1,1,2,3.2534
1,2,1,1,2,1.4653
1,2,1,1,2,2.1203
1,2,1,1,2,1.9298
1,2,1,2,1,11.204
1,2,1,2,1,8.6676
1,2,1,2,1,3.2431
1,2,1,2,1,56.02
1,2,1,2,1,19.213
1,2,1,2,1,4.4276
1,2,1,2,1,13.752
1,2,1,2,1,61.172
1,2,1,2,1,4.2712
1,2,1,2,1,2.7951
1,2,1,2,1,3.6703
1,2,1,2,1,3.4784
1,2,1,2,1,4.075
1,2,1,2,1,2.4997
1,2,1,2,1,3.4558
1,2,1,2,1,3.5862
1,2,1,2,1,3.3641
1,2,1,2,1,4.4987
1,2,1,2,1,3.277
1,2,1,2,1,3.7611
1,2,1,2,1,3.5291
1,2,1,2,1,3.1754
1,2,1,2,1,3.7932
1,2,1,2,1,3.499
1,2,1,2,1,3.8988
1,2,1,2,1,3.1697
1,2,1,2,1,4.4019
1,2,1,2,1,3.3408
1,2,1,2,1,3.2041
1,2,1,2,1,40.014
1,2,1,2,1,18.415
1,2,1,2,1,4.7517
1,2,1,2,1,3.0586
1,2,1,2,1,48.825
1,2,1,2,1,33.262
1,2,1,2,1,3.0481
1,2,1,2,1,100.41
1,2,1,2,1,84.475
1,2,1,2,1,2.8353
1,2,1,2,1,36.703
1,2,1,2,1,20.708
1,2,1,2,1,2.9322
1,2,1,2,1,4.2473
1,2,1,2,1,26.878
1,2,1,2,1,20.708
1,2,1,2,1,3.6907
1,2,1,2,1,57.225
1,2,1,2,1,90.202
1,2,1,2,1,2.732
1,2,1,2,1,2.9501
1,2,1,2,1,3.1379
1,2,1,2,1,35.718
1,2,1,2,1,78.264
1,2,1,2,1,4.1223
1,2,1,2,1,2.5872
1,2,1,2,1,2.7718
1,2,1,2,1,5.3007
1,2,1,2,1,43.268
1,2,1,2,1,17.564
1,2,1,2,1,3.5527
1,2,1,2,1,4.9599
1,2,1,2,1,3.1214
1,2,1,2,1,98.554
1,2,1,2,1,62.611
1,2,1,2,1,3.2811
1,2,1,2,1,3.3876
1,2,1,2,1,2.5427
1,2,1,2,1,4.1191
1,2,1,2,1,3.3345
1,2,1,2,1,3.5082
1,2,1,2,1,4.0688
1,2,1,2,1,3.0816
1,2,1,2,1,3.1983
1,2,1,2,1,4.2271
1,2,1,2,1,59.133
1,2,1,2,1,27.575
1,2,1,2,1,2.7966
1,2,1,2,1,4.5487
1,2,1,2,1,2.101
1,2,1,2,1,3.3726
1,2,1,2,1,3.0307
1,2,1,2,1,1.6916
1,2,1,2,1,10.996
1,2,1,2,1,1.445
1,2,1,2,1,2.3099
1,2,1,2,1,2.5562
1,2,1,2,1,3.0586
